PC_2014,PC_2015
A0H1K0,A0H1M0
A2A1B9,A2A0B6
A2A1C0,A2A0B6
A2A1C8,A2A0B6
A2A1H2,A2A0B6
A2A1H5,A2A0B6
A2A1K0,A2A0B6
A2A1W8,A2A0B6
A2A2E0,A2A0B6
A2A2J5,A2A0B6
A2A2J6,A2A0B6
A2A2N4,A2A0B6
A2A2N5,A2A0B6
A2A2R1,A2A0B6
A2A2R4,A2A0B6
A2A2R5,A2A0B6
A2A2T8,A2A0B6
A0H1C1,A2A0B4
A2B2J2,A2B0A9
A0G1S1,A0G1C0
A0J1C0,A0J0A4
A1V2X2,A1V2P5
A1V2W3,A1V2T7
A1V1C4,A1V2V4
A1V1K0,A1V2V4
A1V1T9,A1V2V4
A1V1W9,A1V2V4
A1V2C9,A1V2V4
A1V2K6,A1V2V4
A1V2L2,A1V2V4
A1V2L5,A1V2V4
A1V2M1,A1V2V4
A1V2N7,A1V2V4
A1V2N8,A1V2V4
A1V2P9,A1V2V4
A1V2R8,A1V2V4
A1V2S2,A1V2V4
A0H1X0,A0H1H0
A0H2H0,A0H1H0
A0N1L0,A0H0C2
A0N2A0,A0H0C2
A0B3P0,A0B2S0
A0A1T0,A0A0A2
A0A2A0,A0A0A2
A0A2C0,A0A0A2
A0A2E0,A0A0A2
A0A2J0,A0A0A2
A0A2K0,A0A0A2
A0A2R1,A0A0A2
A0A2R2,A0A0A2
A0A2R3,A0A0A2
A0A2T0,A0A0A2
A0A2Y0,A0A0A2
A0A3K0,A0A0A2
A0A3T0,A0A0A2
A0A3Y0,A0A0A2
A0A3Z0,A0A0A2
A0A4C0,A0A0A2
A0B2K0,A0B0E1
A0B2X0,A0B0E1
A0B3G0,A0B0E1
A0B3N0,A0B0E1
A0B3R0,A0B0E1
A1M1B4,A1M3P9
A1M1L4,A1M3P9
A1M1M1,A1M3P9
A1M1N7,A1M3P9
A1M1S3,A1M3P9
A1M1W6,A1M3P9
A1M1Y8,A1M3P9
A1L3G8,A1L3H5
A1L3H3,A1L3H5
A1M3R9,A1M3C1
A1M3S1,A1M3C1
A1M3S2,A1M3C1
A1M3S3,A1M3C1
A1L1C1,A1L3L9
A1N3E4,A1N3B7
A1N0B9,A1N3J5
A1N4M6,A1N4N6
A1N4T1,A1N4S5
A1X4C4,A1X4C2
A1X1A1,A1X4C6
A1X1A2,A1X4C6
A1X1A3,A1X4C6
A1X1A4,A1X4C6
A1X1A5,A1X4C6
A1X1A6,A1X4C6
A1X1A7,A1X4C6
A1X1A8,A1X4C6
A1X1A9,A1X4C6
A1X1B1,A1X4C6
A1X1B2,A1X4C6
A1X1B3,A1X4C6
A1X1B4,A1X4C6
A1X1B5,A1X4C6
A1X1B6,A1X4C6
A1X1B7,A1X4C6
A1X1B8,A1X4C6
A1X1B9,A1X4C6
A1X1C1,A1X4C6
A1X1C2,A1X4C6
A1X1C3,A1X4C6
A1X1C4,A1X4C6
A1X1C5,A1X4C6
A1X1C6,A1X4C6
A1X1C7,A1X4C6
A1X1C8,A1X4C6
A1X1C9,A1X4C6
A1X1E1,A1X4C6
A1X1E2,A1X4C6
A1X1E3,A1X4C6
A1X1E4,A1X4C6
A1X1E5,A1X4C6
A1X1E6,A1X4C6
A1X1E7,A1X4C6
A1X1E8,A1X4C6
A1X1E9,A1X4C6
A1X1G1,A1X4C6
A1X1G2,A1X4C6
A1X1G3,A1X4C6
A1X1G4,A1X4C6
A1X1G5,A1X4C6
A1X1G6,A1X4C6
A1X1G7,A1X4C6
A1X1G8,A1X4C6
A1X1G9,A1X4C6
A1X1H1,A1X4C6
A1X1H2,A1X4C6
A1X1H3,A1X4C6
A1X1H4,A1X4C6
A1X1H5,A1X4C6
A1X4G9,A1X4B2
A1Y0A4,A1Y1A5
A1Y0A2,A1Y1A5
A1Y0A5,A1Y1A5
A1Y0A1,A1Y1A5
A1Y0A3,A1Y1A5
A1S1A0,A1S1L3
A1C4T7,A1C0B4
A1E1B2,A1C0B4
A1C4T3,A1C1C9
A1C6G6,A1C1C9
A1E2P9,A1E1B1
A1E4M7,A1E1B1
A1E0A8,A1E1C3
A1G1J6,A1G1V2
A1A5L9,A1A1B7
A1C1A0,A1C5H2
A1C1C0,A1C5H2
A1C1L4,A1C5H2
A1C1L5,A1C5H2
A1C1V0,A1C5H2
A1C1W3,A1C5H2
A1C1W4,A1C5H2
A1C1W5,A1C5H2
A1C1W7,A1C5H2
A1C1X7,A1C5H2
A1C3J6,A1C5H2
A1C3J7,A1C5H2
A1C4B8,A1C5H2
A1C4E8,A1C5H2
A1C4J9,A1C5H2
A1C4T4,A1C5H2
A1C4T9,A1C5H2
A1C4V1,A1C5H2
A1C4X5,A1C5H2
A1C4Y3,A1C5H2
A1C4Y5,A1C5H2
A1C4Y6,A1C5H2
A1C5H3,A1C5H2
A1C5H7,A1C5H2
A1C5H8,A1C5H2
A1C5H9,A1C5H2
A1C5J6,A1C5H2
A1C5J8,A1C5H2
A1C5K1,A1C5H2
A1C5K2,A1C5H2
A1C5K3,A1C5H2
A1C5K5,A1C5H2
A1C5K9,A1C5H2
A1C5L5,A1C5H2
A1C5L6,A1C5H2
A1C5L8,A1C5H2
A1C5L9,A1C5H2
A1C5M1,A1C5H2
A1C5M4,A1C5H2
A1C5M6,A1C5H2
A1C5N1,A1C5H2
A1C5N3,A1C5H2
A1C5N4,A1C5H2
A1C5N6,A1C5H2
A1C5N7,A1C5H2
A1C5P1,A1C5H2
A1C5P2,A1C5H2
A1C5P4,A1C5H2
A1C5P8,A1C5H2
A1C5R5,A1C5H2
A1C5R8,A1C5H2
A1C5R9,A1C5H2
A1C5S1,A1C5H2
A1C5S3,A1C5H2
A1C5S5,A1C5H2
A1C5S6,A1C5H2
A1C5S9,A1C5H2
A1C5T1,A1C5H2
A1C5T3,A1C5H2
A1C5T4,A1C5H2
A1C5T5,A1C5H2
A1C5T7,A1C5H2
A1C5T8,A1C5H2
A1C5V2,A1C5H2
A1C5V8,A1C5H2
A1C5V9,A1C5H2
A1C5W3,A1C5H2
A1C5W6,A1C5H2
A1C5W9,A1C5H2
A1C5X2,A1C5H2
A1C5X6,A1C5H2
A1C5X9,A1C5H2
A1C5Y1,A1C5H2
A1C5Y2,A1C5H2
A1C5Y3,A1C5H2
A1C5Y5,A1C5H2
A1C5Y6,A1C5H2
A1C5Y7,A1C5H2
A1C5Y9,A1C5H2
A1C5Z3,A1C5H2
A1C5Z4,A1C5H2
A1C5Z5,A1C5H2
A1C5Z7,A1C5H2
A1C5Z8,A1C5H2
A1C6A1,A1C5H2
A1C6A3,A1C5H2
A1C6A5,A1C5H2
A1C6A6,A1C5H2
A1C6A7,A1C5H2
