"POSTALCODE","COMM_NAME","MUNICIPAL","RHA","FSA","CCSUID","CCSNAME","CDUID","CDNAME","CSDUID","CSDNAME","DAUID","ERUID","ERNAME","LOCAL_AREA","Remote_Cla","RemoteIdx","RemoteFuzz","Local_Ar_1","RHA_Pop_13","CD_Pop_11","CSD_Pop_11","ER_Pop_11","FSA_Pop_11","DA_Pop_11"
"A0H2C0","RENCONTRE EAST","RENCONTRE EAST","Central","A0H",1003001,"Division No.  3, Subd. A",1003,"Division No.  3",1003002,"Rencontre East",10030057,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Belle Bay","Remote",0.416000008583,1,1460,93645,16305,145,37660,18500,140
"A0H0A2","BELLEORAM","BELLEORAM","Central","A0H",1003001,"Division No.  3, Subd. A",1003,"Division No.  3",1003004,"Belleoram",10030060,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Belle Bay","Remote",0.488000005484,1,1460,93645,16305,410,37660,18500,410
"A0H1M0","ENGLISH HARBOUR WEST","ST. JACQUES-COOMB'S COVE","Central","A0H",1003001,"Division No.  3, Subd. A",1003,"Division No.  3",1003003,"St. Jacques-Coomb's Cove",10030058,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Belle Bay","Remote",0.495000004768,1,1460,93645,16305,615,37660,18500,615
"A0H2B0","POOLS COVE","POOL'S COVE","Central","A0H",1003001,"Division No.  3, Subd. A",1003,"Division No.  3",1003005,"Pool's Cove",10030059,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Belle Bay","Remote",0.504000008106,1,1460,93645,16305,180,37660,18500,180
"A0H0A1","POOLS COVE","POOL'S COVE","Central","A0H",1003001,"Division No.  3, Subd. A",1003,"Division No.  3",1003005,"Pool's Cove",10030059,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Belle Bay","Remote",0.504000008106,1,1460,93645,16305,180,37660,18500,180
"A0H0A5","ENGLISH HARBOUR WEST","ST. JACQUES-COOMB'S COVE","Central","A0H",1003001,"Division No.  3, Subd. A",1003,"Division No.  3",1003003,"St. Jacques-Coomb's Cove",10030058,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Belle Bay","Remote",0.495000004768,1,1460,93645,16305,615,37660,18500,615
"A0H1B0","BELLEORAM","BELLEORAM","Central","A0H",1003001,"Division No.  3, Subd. A",1003,"Division No.  3",1003004,"Belleoram",10030060,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Belle Bay","Remote",0.488000005484,1,1460,93645,16305,410,37660,18500,410
"A0H0C3","RENCONTRE EAST","RENCONTRE EAST","Central","A0H",1003001,"Division No.  3, Subd. A",1003,"Division No.  3",1003002,"Rencontre East",10030057,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Belle Bay","Remote",0.416000008583,1,1460,93645,16305,145,37660,18500,140
"A0H1P0","HARBOUR BRETON","HARBOUR BRETON","Central","A0H",1003006,"Division No.  3, Subd. B",1003,"Division No.  3",1003008,"Harbour Breton",10030068,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Harbour Breton Area","Moderately Remote",0.423000007868,1,1910,93645,16305,1710,37660,18500,1135
"A0H0A4","HARBOUR BRETON","HARBOUR BRETON","Central","A0H",1003006,"Division No.  3, Subd. B",1003,"Division No.  3",1003008,"Harbour Breton",10030068,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Harbour Breton Area","Moderately Remote",0.423000007868,1,1910,93645,16305,1710,37660,18500,1135
"A0H1S0","HERMITAGE","HERMITAGE-SANDYVILLE","Central","A0H",1003009,"Division No.  3, Subd. C",1003,"Division No.  3",1003011,"Hermitage-Sandyville",10030063,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Hermitage Bay","Remote",0.449999988079,1,1085,93645,16305,450,37660,18500,450
"A0H0A7","HERMITAGE","HERMITAGE-SANDYVILLE","Central","A0H",1003009,"Division No.  3, Subd. C",1003,"Division No.  3",1003011,"Hermitage-Sandyville",10030063,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Hermitage Bay","Remote",0.449999988079,1,1085,93645,16305,450,37660,18500,450
"A0H1N0","GAULTOIS","GAULTOIS","Central","A0H",1003009,"Division No.  3, Subd. C",1003,"Division No.  3",1003012,"Gaultois",10030064,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Hermitage Bay","Remote",0.456999987364,1,1085,93645,16305,180,37660,18500,180
"A0H0B8","GAULTOIS","GAULTOIS","Central","A0H",1003009,"Division No.  3, Subd. C",1003,"Division No.  3",1003012,"Gaultois",10030064,1020,"South Coast--Burin Peninsula / Côte-sud--Burin Peninsula","Hermitage Bay","Remote",0.456999987364,1,1085,93645,16305,180,37660,18500,180
"A0H1C0","BISHOPS FALLS","BISHOP'S FALLS","Central","A0H",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006019,"Bishop's Falls",10060085,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.188999995589,0.569999992847,24375,93645,37305,3340,109115,18500,480
"A2A2B6","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2B7","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1B7","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1B8","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1H6","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1H7","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1K6","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1K7","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1K8","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1K9","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1L1","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1L2","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
