POSTALCODE,COMM_NAME,LONGITUDE,LATITUDE,POINT_X,POINT_Y,FSA,Postal Codes_DBUID,Local Area,Dissemination Block_DBUID,Dissemination Block_DAUID,Dissemination Area_DAUID,Dissemination Area_CSDUID,Economic Regions_ERUID,ERNAME,Census Subdivision_CSDUID,CSDNAME,Census Subdivision_CCSUID,Census Subdivision_ERUID,Census Division_CDUID,Census Division_CDNAME,Census Consolidated Subdivision_CCSUID,CCSNAME,Census Consolidated Subdivision_CDUID,Census Consolidated Subdivision_CDNAME
A0A4B0,TREPASSEY,-53.360278,46.736116,1468263.705,5185859.878,A0A,1001073502,Trepassey Bay,1001073502,10010735,10010735,1001113,1010,Avalon Peninsula,1001113,Trepassey,1001101,1010,1001,Division No.  1,1001101,"Division No.  1, Subd. V",1001,Division No.  1
A0A3R0,ST SHOTTS,-53.587344,46.632854,1451812.664,5173076.504,A0A,1001073305,Trepassey Bay,1001073305,10010733,10010733,1001120,1010,Avalon Peninsula,1001120,St. Shott's,1001101,1010,1001,Division No.  1,1001101,"Division No.  1, Subd. V",1001,Division No.  1
A0A3A0,MOBILE,-52.84102,47.244894,1503038.807,5245514.337,A0A,1001074106,Southern Shore,1001074106,10010741,10010741,1001124,1010,Avalon Peninsula,1001124,"Division No.  1, Subd. U",1001124,1010,1001,Division No.  1,1001124,"Division No.  1, Subd. U",1001,Division No.  1
A0A1N0,CALVERT,-52.912028,47.055348,1499456.373,5224037.444,A0A,1001073712,Southern Shore,1001073712,10010737,10010737,1001124,1010,Avalon Peninsula,1001124,"Division No.  1, Subd. U",1001124,1010,1001,Division No.  1,1001124,"Division No.  1, Subd. U",1001,Division No.  1
A0A4A0,TORS COVE,-52.851472,47.217188,1502512.416,5242374.43,A0A,1001074302,Southern Shore,1001074302,10010743,10010743,1001124,1010,Avalon Peninsula,1001124,"Division No.  1, Subd. U",1001124,1010,1001,Division No.  1,1001124,"Division No.  1, Subd. U",1001,Division No.  1
A0A1P0,CAPE BROYLE,-52.928099,47.0931,1497885.272,5228121.138,A0A,1001074219,Southern Shore,1001074219,10010742,10010742,1001126,1010,Avalon Peninsula,1001126,Cape Broyle,1001124,1010,1001,Division No.  1,1001124,"Division No.  1, Subd. U",1001,Division No.  1
A0A3N0,RENEWS,-52.941116,46.931911,1498402.791,5210162.876,A0A,1001074004,Southern Shore,1001074004,10010740,10010740,1001131,1010,Avalon Peninsula,1001131,Renews-Cappahayden,1001124,1010,1001,Division No.  1,1001124,"Division No.  1, Subd. U",1001,Division No.  1
A0A1S0,CAPPAHAYDEN,-52.946643,46.861066,1498641.994,5202271.018,A0A,1001074033,Southern Shore,1001074033,10010740,10010740,1001131,1010,Avalon Peninsula,1001131,Renews-Cappahayden,1001124,1010,1001,Division No.  1,1001124,"Division No.  1, Subd. U",1001,Division No.  1
A0A2G0,FERMEUSE,-52.96059,46.975558,1496518.009,5214879.125,A0A,1001073807,Southern Shore,1001073807,10010738,10010738,1001136,1010,Avalon Peninsula,1001136,Fermeuse,1001124,1010,1001,Division No.  1,1001124,"Division No.  1, Subd. U",1001,Division No.  1
A0A1A0,AQUAFORTE,-52.957903,47.00856,1496414.975,5218555.916,A0A,1001074503,Southern Shore,1001074503,10010745,10010745,1001144,1010,Avalon Peninsula,1001144,Aquaforte,1001124,1010,1001,Division No.  1,1001124,"Division No.  1, Subd. U",1001,Division No.  1
A0A2H0,FERRYLAND,-52.882658,47.033859,1501884.615,5221843.027,A0A,1001074425,Southern Shore,1001074425,10010744,10010744,1001149,1010,Avalon Peninsula,1001149,Ferryland,1001124,1010,1001,Division No.  1,1001124,"Division No.  1, Subd. U",1001,Division No.  1
A0B3C0,ST VINCENTS,-53.636831,46.800289,1446643.702,5191362.849,A0B,1001073110,St. Mary's Bay,1001073110,10010731,10010731,1001169,1010,Avalon Peninsula,1001169,St. Vincent's-St. Stephen's-Peter's River,1001155,1010,1001,Division No.  1,1001155,"Division No.  1, Subd. W",1001,Division No.  1
A0B3B0,ST MARYS,-53.576179,46.911574,1450328.65,5204052.685,A0B,1001072901,St. Mary's Bay,1001072901,10010729,10010729,1001178,1010,Avalon Peninsula,1001178,St. Mary's,1001155,1010,1001,Division No.  1,1001155,"Division No.  1, Subd. W",1001,Division No.  1
A0B2M0,MOUNT CARMEL,-53.472873,47.154702,1456096.644,5231616.902,A0B,1001072609,St. Mary's Bay,1001072609,10010726,10010726,1001197,1010,Avalon Peninsula,1001197,Mount Carmel-Mitchells Brook-St. Catherine's,1001155,1010,1001,Division No.  1,1001155,"Division No.  1, Subd. W",1001,Division No.  1
A0B1M0,COLINET,-53.54984,47.218069,1449736.631,5238196.692,A0B,1001072305,St. Mary's Bay,1001072305,10010723,10010723,1001207,1010,Avalon Peninsula,1001207,Colinet,1001203,1010,1001,Division No.  1,1001203,"Division No.  1, Subd. X",1001,Division No.  1
A0B1E0,BRANCH,-53.952956,46.88259,1421920.361,5198737.411,A0B,1001074702,Placentia-St. Bride's Area,1001074702,10010747,10010747,1001219,1010,Avalon Peninsula,1001219,Branch,1001214,1010,1001,Division No.  1,1001214,"Division No.  1, Subd. C",1001,Division No.  1
A0B2Z0,ST BRIDES,-54.172268,46.919953,1404960.11,5201722.67,A0B,1001074804,Placentia-St. Bride's Area,1001074804,10010748,10010748,1001228,1010,Avalon Peninsula,1001228,St. Bride's,1001214,1010,1001,Division No.  1,1001214,"Division No.  1, Subd. C",1001,Division No.  1
A0B1S0,DUNVILLE,-53.88599,47.268576,1423931.326,5241910.652,A0B,1001075316,Placentia-St. Bride's Area,1001075316,10010753,10010753,1001240,1010,Avalon Peninsula,1001240,Placentia,1001234,1010,1001,Division No.  1,1001234,"Division No.  1, Subd. B",1001,Division No.  1
